Generators,Mode,Cents,Closest 12 edo scale,Euclidean Distance
13 19 21 23,5,0 174 331 830 988 1161,0 200 300 800 1000 1200,64.823
1 7 21 23,5,0 341 498 572 729 1070,0 300 500 600 700 1100,64.885
7 13 17 19,5,0 129 465 672 1008 1136,0 100 500 700 1000 1100,64.885
9 13 15 19,3,0 316 409 564 657 973,0 300 400 600 700 1000,64.892
13 15 17 19,2,0 216 409 464 657 873,0 200 400 500 700 900,64.892
1 13 17 21,4,0 105 465 471 830 935,0 100 500 500 800 900,64.931
7 11 17 23,2,0 77 417 523 864 940,0 100 400 500 900 900,65.138
9 13 17 21,5,0 267 464 731 830 1101,0 300 500 700 800 1100,65.169
9 11 15 23,3,0 77 424 537 884 961,0 100 400 500 900 1000,65.2
5 13 17 19,1,0 89 281 543 736 825,0 100 300 500 700 800,65.207
1 5 7 13,4,0 128 387 515 746 969,0 100 400 500 700 1000,65.23
3 13 17 21,2,0 231 370 597 736 967,0 200 400 600 700 1000,65.23
3 9 13 21,2,0 231 370 498 637 868,0 200 400 500 600 900,65.253
3 13 19 21,4,0 35 174 405 830 1062,0 0 200 400 800 1100,65.345
1 3 13 15,3,0 112 359 814 1061 1173,0 100 400 800 1100 1200,65.353
7 13 17 23,5,0 396 524 736 860 1072,0 400 500 700 900 1100,65.361
1 13 19 21,5,0 174 360 533 830 903,0 200 400 500 800 900,65.376
1 9 13 21,4,0 204 471 563 830 1034,0 200 500 600 800 1000,65.437
1 3 13 21,5,0 139 370 498 729 868,0 100 400 500 700 900,65.498
9 13 19 21,5,0 174 564 737 830 1107,0 200 600 700 800 1100,65.498
11 15 17 23,1,0 140 217 664 677 1124,0 100 200 700 700 1100,65.498
7 13 15 19,4,0 281 410 529 953 1072,0 300 400 500 1000 1100,65.536
5 9 11 23,4,0 165 776 941 1017 1123,0 200 800 900 1000 1100,65.574
7 9 11 23,2,0 77 417 424 765 841,0 100 400 400 800 800,65.574
13 17 19 21,5,0 174 465 638 830 1008,0 200 500 600 800 1000,65.643
1 5 13 21,5,0 370 454 729 813 1183,0 400 500 700 800 1200,65.689
7 19 21 23,0,0 173 330 701 859 1032,0 200 300 700 900 1000,65.841
5 9 13 19,1,0 89 182 543 637 726,0 100 200 500 600 700,65.871
1 7 13 15,3,0 112 231 953 1072 1184,0 100 200 1000 1100 1200,65.985
13 15 19 21,2,0 370 409 779 953 1027,0 400 400 800 1000 1000,66.03
5 11 17 23,4,0 165 677 842 918 1123,0 200 700 800 900 1100,66.114
7 13 19 23,2,0 213 529 741 870 1072,0 200 500 700 900 1100,66.144
3 5 7 13,2,0 128 267 746 885 1013,0 100 300 700 900 1000,66.204
7 9 13 23,5,0 297 425 637 860 1072,0 300 400 600 900 1100,66.234
1 13 15 21,4,0 247 471 718 830 1088,0 200 500 700 800 1100,66.468
3 5 13 21,3,0 231 315 370 454 685,0 200 300 400 500 700,66.536
3 7 11 23,3,0 74 783 857 933 1123,0 100 800 900 900 1100,66.573
5 15 21 23,0,0 84 241 582 740 824,0 100 200 600 700 800,66.611
1 3 13 19,5,0 360 404 764 903 1061,0 400 400 800 900 1100,66.648
3 5 11 19,0,0 630 795 884 946 1034,0 600 800 900 900 1000,66.731
1 13 21 23,5,0 213 370 572 729 942,0 200 400 600 700 900,66.768
11 17 21 23,4,0 80 677 757 834 1123,0 100 700 800 800 1100,66.806
5 11 13 23,1,0 76 745 822 987 1035,0 100 700 800 1000 1000,66.925
5 7 15 23,2,0 120 460 618 959 1078,0 100 500 600 1000 1100,67.0
3 13 15 19,4,0 139 387 543 791 930,0 100 400 500 800 900,67.231
1 7 13 23,1,0 212 231 443 572 1072,0 200 200 400 600 1100,67.246
3 13 15 21,2,0 231 370 814 953 1184,0 200 400 800 1000 1200,67.246
9 11 21 23,4,0 80 776 856 933 1123,0 100 800 900 900 1100,67.305
3 5 13 19,3,0 89 139 228 543 884,0 100 100 200 500 900,67.313
5 7 9 13,4,0 128 183 311 746 765,0 100 200 300 700 800,67.342
5 11 17 19,3,0 165 254 919 1007 1172,0 200 300 900 1000 1200,67.342
3 7 13 15,0,0 128 247 266 386 514,0 100 200 300 400 500,67.387
5 9 11 19,2,0 71 165 254 1018 1106,0 100 200 300 1000 1100,67.394
3 11 21 23,3,0 74 81 155 231 1123,0 100 100 200 200 1100,67.469
5 9 13 21,5,0 183 267 746 830 1013,0 200 300 700 800 1000,67.55
1 7 11 13,4,0 128 552 680 911 969,0 100 600 700 900 1000,67.602
1 11 13 21,3,0 289 470 760 840 1119,0 300 500 800 800 1100,67.69
3 7 13 23,4,0 139 860 998 1072 1126,0 100 900 1000 1100 1100,67.713
1 7 11 23,2,0 77 417 628 969 1045,0 100 400 600 1000 1000,67.735
5 7 13 17,4,0 128 282 410 746 864,0 100 300 400 700 900,67.971
13 17 21 23,2,0 157 370 523 736 893,0 200 400 500 700 900,67.993
1 5 11 19,3,0 165 254 814 902 1067,0 200 300 800 900 1100,68.044
7 9 13 15,2,0 128 316 444 564 1081,0 100 300 400 600 1100,68.066
5 13 17 21,5,0 282 366 746 830 1112,0 300 400 700 800 1100,68.118
3 13 21 23,4,0 74 213 231 370 444,0 100 200 200 400 400,68.132
5 7 21 23,4,0 84 341 425 582 1042,0 100 300 400 600 1000,68.191
3 11 15 19,0,0 132 386 536 795 946,0 100 400 500 800 900,68.242
9 11 15 19,4,0 93 537 630 884 946,0 100 500 600 900 900,68.484
7 13 15 17,3,0 128 247 864 983 1111,0 100 200 900 1000 1100,68.549
3 11 13 21,0,0 58 138 289 968 1119,0 100 100 300 1000 1100,68.659
9 13 15 21,2,0 316 370 686 934 953,0 300 400 700 900 1000,68.68
11 15 17 19,3,0 193 537 730 946 983,0 200 500 700 900 1000,68.724
13 15 17 21,4,0 247 366 613 830 983,0 200 400 600 800 1000,68.724
9 13 21 23,2,0 157 370 424 637 794,0 200 400 400 600 800,68.775
